timestamp,seconds,temperature,label,delay
2004-02-28 01:08:16,1077941296.0,19.567,0,120.0
2004-02-28 01:10:16,1077941416.0,19.5376,0,120.0
2004-02-28 01:26:46,1077942406.0,19.4788,0,120.0
2004-02-28 01:28:16,1077942496.0,19.4494,0,120.0
2004-02-28 01:33:46,1077942826.0,19.4984,0,120.0
2004-02-28 01:34:46,1077942886.0,19.4788,0,120.0
2004-02-28 01:36:46,1077943006.0,19.4592,0,120.0
2004-02-28 01:37:16,1077943036.0,19.4494,0,120.0
2004-02-28 01:38:16,1077943096.0,19.4788,0,120.0
2004-02-28 01:39:16,1077943156.0,19.469,0,120.0
2004-02-28 01:39:46,1077943186.0,19.4788,0,120.0
2004-02-28 01:40:46,1077943246.0,19.4592,0,120.0
2004-02-28 01:41:46,1077943306.0,19.4592,0,120.0
2004-02-28 01:42:16,1077943336.0,19.4494,0,120.0
2004-02-28 01:44:46,1077943486.0,19.4396,0,120.0
2004-02-28 01:45:16,1077943516.0,19.4396,0,120.0
2004-02-28 01:45:46,1077943546.0,19.4396,0,120.0
2004-02-28 01:46:15,1077943575.0,19.4396,0,120.0
2004-02-28 01:46:46,1077943606.0,19.4396,0,120.0
2004-02-28 01:49:46,1077943786.0,19.371,0,120.0
2004-02-28 01:50:16,1077943816.0,19.371,0,120.0
2004-02-28 01:51:46,1077943906.0,19.3906,0,120.0
2004-02-28 01:52:16,1077943936.0,19.4004,0,120.0
2004-02-28 01:53:46,1077944026.0,19.4004,0,120.0
2004-02-28 01:54:16,1077944056.0,19.4004,0,120.0
2004-02-28 01:56:16,1077944176.0,19.3808,0,120.0
2004-02-28 02:02:16,1077944536.0,19.371,0,120.0
2004-02-28 02:02:46,1077944566.0,19.371,0,120.0
2004-02-28 02:03:16,1077944596.0,19.371,0,120.0
2004-02-28 02:04:16,1077944656.0,19.3416,0,120.0
2004-02-28 02:06:16,1077944776.0,19.3612,0,120.0
2004-02-28 02:06:46,1077944806.0,19.3416,0,120.0
2004-02-28 02:07:16,1077944836.0,19.3416,0,120.0
2004-02-28 02:07:46,1077944866.0,19.3416,0,120.0
2004-02-28 02:08:16,1077944896.0,19.322,0,120.0
2004-02-28 02:08:46,1077944926.0,19.3122,0,120.0
2004-02-28 02:09:16,1077944956.0,19.2828,0,120.0
2004-02-28 02:15:17,1077945317.0,19.3024,0,120.0
2004-02-28 02:18:17,1077945497.0,19.273,0,120.0
2004-02-28 02:19:46,1077945586.0,19.2828,0,120.0
2004-02-28 02:20:16,1077945616.0,19.273,0,120.0
2004-02-28 02:23:16,1077945796.0,19.2534,0,120.0
2004-02-28 02:24:46,1077945886.0,19.2632,0,120.0
2004-02-28 02:27:46,1077946066.0,19.2338,0,120.0
2004-02-28 02:28:46,1077946126.0,19.2142,0,120.0
2004-02-28 02:29:16,1077946156.0,19.2044,0,120.0
2004-02-28 02:29:46,1077946186.0,19.1848,0,120.0
2004-02-28 02:30:16,1077946216.0,19.2044,0,120.0
