timestamp,hour,minut,second,day,month,delay,sensor_id,temperature,label
2004-03-31 02:58:45,2,58,45,31,3,0.0,3,122.15299999999999,0
2004-02-28 00:58:46,0,58,46,28,2,0.0,3,20.204,0
2004-03-30 16:04:46,16,4,46,30,3,0.0,3,122.15299999999999,0
2004-03-30 14:43:05,14,43,5,30,3,0.0,3,122.15299999999999,0
2004-03-30 16:06:06,16,6,6,30,3,0.0,3,122.15299999999999,0
2004-03-30 14:44:01,14,44,1,30,3,0.0,3,122.15299999999999,0
2004-03-30 14:44:15,14,44,15,30,3,0.0,3,122.15299999999999,0
2004-03-30 14:45:16,14,45,16,30,3,0.0,3,122.15299999999999,0
2004-03-30 14:45:51,14,45,51,30,3,0.0,3,122.15299999999999,0
2004-03-30 14:46:16,14,46,16,30,3,0.0,3,122.15299999999999,0
2004-02-28 01:03:46,1,3,46,28,2,200000.0,3,194.396,0
2004-02-28 01:04:46,1,4,46,28,2,200000.0,3,194.102,0
2004-02-28 01:05:16,1,5,16,28,2,200000.0,3,194.102,0
2004-02-28 01:05:46,1,5,46,28,2,200000.0,3,194.00400000000002,0
2004-02-28 01:06:16,1,6,16,28,2,200000.0,3,19.371,0
2004-02-28 01:07:16,1,7,16,28,2,200000.0,3,193.612,0
2004-02-28 01:07:46,1,7,46,28,2,200000.0,3,193.612,0
2004-02-28 01:08:16,1,8,16,28,2,200000.0,3,193.612,0
2004-02-28 01:08:46,1,8,46,28,2,200000.0,3,193.612,0
2004-02-28 01:09:16,1,9,16,28,2,200000.0,3,193.514,0
2004-02-28 01:09:46,1,9,46,28,2,400000.0,3,19.371,1
2004-02-28 01:10:46,1,10,46,28,2,400000.0,3,193.808,1
2004-02-28 01:11:46,1,11,46,28,2,400000.0,3,193.416,1
2004-02-28 01:12:16,1,12,16,28,2,400000.0,3,19.322,1
2004-02-28 01:12:46,1,12,46,28,2,400000.0,3,19.322,1
2004-02-28 01:13:15,1,13,15,28,2,400000.0,3,193.31799999999998,1
2004-02-28 01:13:46,1,13,46,28,2,400000.0,3,19.322,1
